depth,method,evaluation_scope,number_of_rows,MAE_RA,RMSE_RA,R2_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
500,Raw shallow RA,all_components,91800,0.0008807857526166926,0.002661620503354977,0.9814470189159731,1.9580274169485488,2.821762946202485,0.6683261129984898
500,Raw shallow RA,specific_otus,91440,0.0008717390947681286,0.002653496142754669,0.9815941260387241,1.962818821754164,2.8250547820618888,0.6643690523052065
500,Training-mean RA,all_components,91800,0.003126042739176695,0.01407726744962213,0.48101099356463595,1.8325226037090865,2.5866188860091732,0.5625484175792582
500,Training-mean RA,specific_otus,91440,0.0031077962915616497,0.014083614930894306,0.48150113872758205,1.8383634202444719,2.5915611396675398,0.5576737565985891
500,Random Forest,all_components,91800,0.0007618814644431038,0.0026783201817614745,0.9812134763885769,1.113761801586466,1.4861674608967945,0.7968606763313223
500,Random Forest,specific_otus,91440,0.0007548933889174386,0.0026728170171218695,0.9813251132069398,1.117657166819697,1.4890560942198217,0.7944697334015485
500,XGBoost,all_components,91800,0.0007783215072880844,0.0027338819854038684,0.9804259379120451,1.1176024962798012,1.4745632483702318,0.8008499240821684
500,XGBoost,specific_otus,91440,0.0007715501826317195,0.0027291718973796023,0.9805293117270792,1.1215071312263012,1.4774275823838827,0.7985074061234979
1000,Raw shallow RA,all_components,91800,0.000647336729331759,0.001896001103810392,0.9905854708020694,1.6842325800489317,2.567722769271909,0.7364751622426623
1000,Raw shallow RA,specific_otus,91440,0.0006410657602384116,0.00189057500774692,0.9906565482455739,1.689545440701634,2.5719231482622322,0.7330944860267176
1000,Training-mean RA,all_components,91800,0.003126042739176695,0.01407726744962213,0.48101099356463595,1.8325226037090865,2.5866188860091732,0.5625484175792582
1000,Training-mean RA,specific_otus,91440,0.0031077962915616497,0.014083614930894306,0.48150113872758205,1.8383634202444719,2.5915611396675398,0.5576737565985891
1000,Random Forest,all_components,91800,0.0005906095164766552,0.0019954164025582344,0.9895723004207959,1.0522320466487798,1.431326610390061,0.8226042124143285
1000,Random Forest,specific_otus,91440,0.0005852797404855536,0.001991201751586039,0.989635459480674,1.0559737985878193,1.4341185227924373,0.8204990323191463
1000,XGBoost,all_components,91800,0.0006376435095837862,0.0025219049679276098,0.9833436871535635,1.0571899965658262,1.4147326803420643,0.827498418865066
1000,XGBoost,specific_otus,91440,0.0006320716851914353,0.0025201695594725265,0.9833972875777643,1.0609311455830344,1.4174892009577005,0.825453462889536
2000,Raw shallow RA,all_components,91800,0.00046154479924188826,0.0013285076194938538,0.9953777914752502,1.3877183359662013,2.2788422270126296,0.800776971556356
2000,Raw shallow RA,specific_otus,91440,0.000456557143650479,0.0013226433157493423,0.9954269599445087,1.3925930711948133,2.283113446750296,0.7981631768526128
2000,Training-mean RA,all_components,91800,0.003126042739176695,0.01407726744962213,0.48101099356463595,1.8325226037090865,2.5866188860091732,0.5625484175792582
2000,Training-mean RA,specific_otus,91440,0.0031077962915616497,0.014083614930894306,0.48150113872758205,1.8383634202444719,2.5915611396675398,0.5576737565985891
2000,Random Forest,all_components,91800,0.0004345819689813272,0.0014071384659021383,0.9948144466660873,0.9662528446392701,1.3542276661812453,0.8520097513928759
2000,Random Forest,specific_otus,91440,0.00043001237108349197,0.0014022090562517528,0.9948602137543212,0.9697366265083053,1.3568750938422631,0.8502438102862263
2000,XGBoost,all_components,91800,0.0006000196469065585,0.0036348711205230863,0.9653981380667245,0.9709351518269651,1.3349125397837753,0.8567549526580344
2000,XGBoost,specific_otus,91440,0.0005955967580339326,0.0036385852767826356,0.9653913516491671,0.9743900362800967,1.3375159371921572,0.8550492495913768
5000,Raw shallow RA,all_components,91800,0.00029618416178429116,0.0008494208398566569,0.9981104114062876,0.9872528024322716,1.85189312322463,0.8744144636255246
5000,Raw shallow RA,specific_otus,91440,0.00029333112054819065,0.0008464564918608627,0.9981270387049092,0.9908913195482286,1.8555272685935233,0.8727857083624629
5000,Training-mean RA,all_components,91800,0.003126042739176695,0.01407726744962213,0.48101099356463595,1.8325226037090865,2.5866188860091732,0.5625484175792582
5000,Training-mean RA,specific_otus,91440,0.0031077962915616497,0.014083614930894306,0.48150113872758205,1.8383634202444719,2.5915611396675398,0.5576737565985891
5000,Random Forest,all_components,91800,0.0002902956794335549,0.000892270979657478,0.9979149572139236,0.821115027260114,1.2218763053959873,0.8914371496139156
5000,Random Forest,specific_otus,91440,0.000287549462463975,0.0008897137136385606,0.9979307160381814,0.8241266564005036,1.224270681635945,0.8901364987068191
5000,XGBoost,all_components,91800,0.0004966411727494997,0.003583028962650745,0.966378113911823,0.8307408419298093,1.1971480874946214,0.8960039363953496
5000,XGBoost,specific_otus,91440,0.0004941828880445897,0.0035882629933103112,0.9663420194814897,0.8337740307259558,1.199492011442483,0.8947594273230961
