depth,method,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,positive_prediction_rate
500,Raw shallow RA,42672,0.0003344783455664666,0.0007092210859575873,4.074395907774373,4.124328321516648,0.0
500,Training-mean RA,42672,0.0011923586257264701,0.004909299685596306,0.6822127437433312,0.8800643344860343,1.0
500,Random Forest,42672,0.00027211206338178043,0.00058849013368604,1.2205655782229616,1.514375362290598,0.9998828271466067
500,XGBoost,42672,0.0002759349168579436,0.0006010025558903633,1.213459783052945,1.4922835415199807,0.999859392575928
1000,Raw shallow RA,37309,0.00022315690692698717,0.0004272265023952128,3.9702770522520727,4.013413178323588,0.0
1000,Training-mean RA,37309,0.0010424801708108398,0.0042218224938086486,0.7141742584017913,0.9128884651122553,1.0
1000,Random Forest,37309,0.0001878487068802847,0.00036941056576278946,1.3076109728985101,1.588404783718931,0.9997855745262537
1000,XGBoost,37309,0.00019147971656350486,0.00037958925290642367,1.298202783664318,1.5584078818276883,0.9999195904473451
2000,Raw shallow RA,31249,0.00014683413684999166,0.0002559603335926132,3.8538937100199875,3.89041561453385,0.0
2000,Training-mean RA,31249,0.0009234462632911801,0.003687871481721088,0.7594305396612259,0.9567251833692226,1.0
2000,Random Forest,31249,0.00012737409555311138,0.0002286212617280801,1.4079342451547023,1.6748257425352409,0.9995199846395084
2000,XGBoost,31249,0.00012958966792933624,0.00023288890463757484,1.3956909420813457,1.6408225177316558,0.999583986687574
5000,Raw shallow RA,22612,8.384632376921547e-05,0.00013165323893602507,3.68390285750717,3.712443499073638,0.0
5000,Training-mean RA,22612,0.000845907396457387,0.0033980030222701654,0.8514742822425934,1.0406665640598873,1.0
5000,Random Forest,22612,7.516275763260624e-05,0.00012072229681609281,1.6006969548464351,1.8437363845767998,0.9993808597205024
5000,XGBoost,22612,7.720029763968921e-05,0.0001240177141853818,1.6024176814702529,1.8088039806044054,0.9993808597205024
