depth,method,abundance_group,number_of_rows,MAE_RA,RMSE_RA,MAE_log10_RA,RMSE_log10_RA,Spearman_RA
1000,Raw shallow RA,Dominant (>=1e-2),6185,0.00491504795068917,0.006701514499425565,0.06761681954284587,0.09359700954285144,0.9637865022214904
1000,Raw shallow RA,Common (1e-3 to 1e-2),11845,0.0013806903300138463,0.001837404173782881,0.8001512334872309,1.836250332933358,0.7310674880419188
1000,Raw shallow RA,Rare (1e-4 to 1e-3),23080,0.00044717875982622766,0.000598997885466679,3.283236882000039,3.747458292916268,0.3198033150157017
1000,Raw shallow RA,Very rare (<1e-4),20150,7.664113178086816e-05,0.00019812871019091335,3.4153313385443065,3.4565022138182506,0.11987583909924826
1000,Raw shallow RA,Reference zero,30180,0.0,0.0,0.0,0.0,
1000,Training-mean RA,Dominant (>=1e-2),6185,0.026170112361364385,0.04875490370241668,0.34074507247838565,0.47967239546695367,0.6116647839934387
1000,Training-mean RA,Common (1e-3 to 1e-2),11845,0.005410355108876556,0.015004960625945413,0.4539449926543646,0.5864837756065066,0.42656883453233085
1000,Training-mean RA,Rare (1e-4 to 1e-3),23080,0.0012063518943839966,0.0043192533704032665,0.430138230930661,0.586420703784812,0.24170943505862177
1000,Training-mean RA,Very rare (<1e-4),20150,0.0007888883691383678,0.0031784144595319802,0.9671256547602927,1.1253415502008102,0.03448617666301462
1000,Training-mean RA,Reference zero,30180,0.00048013218423442614,0.0021066248592230656,4.3472595136708145,4.365568851536222,
1000,Random Forest,Dominant (>=1e-2),6185,0.005132906623406872,0.0072791266289726,0.06739327645985889,0.09389855500937203,0.9653766789600134
1000,Random Forest,Common (1e-3 to 1e-2),11845,0.001199396230660104,0.0016264419504334008,0.342054933034336,0.6702141222788203,0.7821377962980481
1000,Random Forest,Rare (1e-4 to 1e-3),23080,0.00027699941861189764,0.00037429557310484144,1.0111703149454323,1.368870578029714,0.41121664508321926
1000,Random Forest,Very rare (<1e-4),20150,4.929887886710845e-05,0.00010440214748822074,1.271377133080947,1.535498133768987,0.2662338790426659
1000,Random Forest,Reference zero,30180,5.884183609136934e-06,3.8939317591263856e-05,1.4292152400812657,1.7453233245036108,
1000,XGBoost,Dominant (>=1e-2),6185,0.005740067597811738,0.009380526164039393,0.07024897171956716,0.09749587934565349,0.9641600373640339
1000,XGBoost,Common (1e-3 to 1e-2),11845,0.0012449925583820057,0.0016710980663757564,0.3529183268381354,0.6703769365599357,0.7784442128713289
1000,XGBoost,Rare (1e-4 to 1e-3),23080,0.0002811253658684301,0.0003758422523749305,1.0210005847988728,1.3557287993107743,0.4116788365313282
1000,XGBoost,Very rare (<1e-4),20150,4.6568328482417006e-05,9.0651040899698e-05,1.2390676980682829,1.4914012281504165,0.27296448978439064
1000,XGBoost,Reference zero,30180,3.997835793250913e-06,1.8538479501074715e-05,1.4534403203245705,1.7374554682533587,
